raceId,year,round,circuitId,name,location,country,lat,lng
171,2000,14,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
172,2000,15,19,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
173,2000,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
174,2000,17,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
175,1999,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
176,1999,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
177,1999,3,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
178,1999,4,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
179,1999,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
180,1999,6,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
181,1999,7,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
182,1999,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
183,1999,9,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
184,1999,10,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
185,1999,11,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
186,1999,12,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
187,1999,13,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
188,1999,14,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
189,1999,15,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
190,1999,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
191,1998,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
192,1998,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
193,1998,3,25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593
194,1998,4,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
195,1998,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
196,1998,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
197,1998,7,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
198,1998,8,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
199,1998,9,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
200,1998,10,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
201,1998,11,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
202,1998,12,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
203,1998,13,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
204,1998,14,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
205,1998,15,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
206,1998,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
207,1997,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
208,1997,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
209,1997,3,25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593
210,1997,4,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
211,1997,5,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
212,1997,6,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
213,1997,7,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
214,1997,8,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
215,1997,9,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
216,1997,10,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
217,1997,11,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
218,1997,12,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
219,1997,13,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
220,1997,14,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
221,1997,15,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
222,1997,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
223,1997,17,26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
224,1996,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
225,1996,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
226,1996,3,25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593
227,1996,4,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
228,1996,5,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
229,1996,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
230,1996,7,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
231,1996,8,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
232,1996,9,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
233,1996,10,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
234,1996,11,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
235,1996,12,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
236,1996,13,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
237,1996,14,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
238,1996,15,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
239,1996,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
240,1995,1,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
241,1995,2,25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593
242,1995,3,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
243,1995,4,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
244,1995,5,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
245,1995,6,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
246,1995,7,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
247,1995,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
248,1995,9,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
249,1995,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
250,1995,11,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
251,1995,12,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
252,1995,13,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
253,1995,14,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
254,1995,15,28,Okayama International Circuit,Okayama,Japan,34.915,134.221
255,1995,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
256,1995,17,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
257,1994,1,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
258,1994,2,28,Okayama International Circuit,Okayama,Japan,34.915,134.221
259,1994,3,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
260,1994,4,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
261,1994,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
262,1994,6,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
263,1994,7,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
264,1994,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
265,1994,9,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
266,1994,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
267,1994,11,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
268,1994,12,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
269,1994,13,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
270,1994,14,26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
271,1994,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
272,1994,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
273,1993,1,30,Kyalami,Midrand,South Africa,-25.9894,28.0767
274,1993,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
275,1993,3,31,Donington Park,Castle Donington,UK,52.8306,-1.37528
276,1993,4,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
277,1993,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
278,1993,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
279,1993,7,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
280,1993,8,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
281,1993,9,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
282,1993,10,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
283,1993,11,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
284,1993,12,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
285,1993,13,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
286,1993,14,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
287,1993,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
288,1993,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
289,1992,1,30,Kyalami,Midrand,South Africa,-25.9894,28.0767
290,1992,2,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
291,1992,3,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
292,1992,4,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
293,1992,5,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
294,1992,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
295,1992,7,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
296,1992,8,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
297,1992,9,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
298,1992,10,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
299,1992,11,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
300,1992,12,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
301,1992,13,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
302,1992,14,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
303,1992,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
304,1992,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
305,1991,1,33,Phoenix street circuit,Phoenix,USA,33.4479,-112.075
306,1991,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
307,1991,3,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
308,1991,4,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
309,1991,5,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
310,1991,6,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
311,1991,7,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
312,1991,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
313,1991,9,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
314,1991,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
315,1991,11,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
316,1991,12,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
317,1991,13,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
318,1991,14,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
319,1991,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
320,1991,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
321,1990,1,33,Phoenix street circuit,Phoenix,USA,33.4479,-112.075
322,1990,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
323,1990,3,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
324,1990,4,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
325,1990,5,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
326,1990,6,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
327,1990,7,34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
328,1990,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
329,1990,9,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
330,1990,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
331,1990,11,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
